AÑO,"SOURCE","TARGET","ESTADO"
"1958","New york U.","U. Pontificia bolivariana","norte "
"1958","U. Of illinois at urbana-champaign","U. De los andes","cucuta"
"1958","U. Of notre dame","U. De los andes","norte "
"1958","Rensselaer polytechnic institute","U. Nal. De Col.","cucuta"
"1958","Rice U.","U. Nal. De Col.","norte "
"1959","Southern methodist U.","U. Pontificia bolivariana","cucuta"
"1959","U. Of illinois at urbana-champaign","U. De los andes","norte "
"1959","U. Of illinois at urbana-champaign","U. De los andes","cucuta"
"1960","Harvard U.","U. Javeriana","norte "
"1960","Central washington U.","U. Nal. De Col.","cucuta"
"1960","U. Of tulsa","U. Industrial de std","norte "
"1960","Cornell U.","U. Nal. De Col.","cucuta"
"1960","Bowdoin college","U. Del atlantico","norte "
"1961","Michigan state U.","U. De los andes","cucuta"
"1961","Michigan state U.","U. Nal. De Col.","norte "
"1961","Michigan state U.","U. De los andes","cucuta"
"1961","Baylor U.","U. Nal. De Col.","norte "
"1961","Georgetown U.","U. Javeriana","cucuta"
"1961","Saint louis U.-main campus","U. Pedagogica nal.","norte "
"1961","Otterbein U.","U. Del atlantico","cucuta"
"1961","Pennsylvania state U.","U. Del atlantico","norte "
"1961","U. Of rochester","Instituto caro y cuervo","cucuta"
"1961","U. Of rochester","Instituto caro y cuervo","norte "
"1962","Harvard U.","U. Javeriana","cucuta"
"1962","U. Of colorado","U. Nal. De Col.","norte "
"1962","Ohio state U.","U. Industrial de std","cucuta"
"1962","Stanford U.","U. Javeriana","norte "
"1962","U. Of california - los angeles","U. Pedagogica nal.","cucuta"
"1962","U. Of california, berkeley","U. Del atlantico","norte "
"1962","Michigan state U.","U. Javeriana","cucuta"
"1963","Southern methodist U.","U. De cartagena","norte "
"1963","Western michigan U.","U. Nal. De Col.","cucuta"
"1963","Johns hopkins U.","U. Nal. De Col.","norte "
"1963","U. Of illinois at urbana-champaign","U. De los andes","cucuta"
"1963","Stanford U.","U. Del cauca","norte "
"1963","Massachusetts institute of technology","U. De los andes","cucuta"
"1963","Massachusetts institute of technology","U. Industrial de std","norte "
"1963","Saint louis U.-main campus","U. Pedagogica nal.","cucuta"
